Latitude,Longitude,Sport,LGA Name,Facility Name
-37.755193,145.033537,Tennis,Banyule City Council,Cyril Cummins Reserve
-37.746418,145.067919,Tennis,Banyule City Council,De Winton Park
-37.722727,145.070588,Tennis,Banyule City Council,Dunvegan Reserve
-37.778907,145.062318,Tennis,Banyule City Council,Eaglemont Tennis Club
-37.71493,145.090947,Tennis,Banyule City Council,Elder Street Reserve
-37.700383,145.106353,Tennis,Banyule City Council,Greensborough Park
-37.753959,145.072988,Tennis,Banyule City Council,Heidelberg Cricket Ground
-37.772888,145.051829,Tennis,Banyule City Council,Ivanhoe Park
-37.762839,145.031895,Tennis,Banyule City Council,Ivanhoe Tennis Club
-37.770918,145.043779,Tennis,Banyule City Council,John Street Reserve
-37.699253,145.099894,Tennis,Banyule City Council,Kalparrin Gardens
-37.72902,145.06907,Tennis,Banyule City Council,Macleod Park
-37.723317,145.068971,Tennis,Banyule City Council,Macleod Recreation & Fitness Centre
-37.701774,145.125942,Tennis,Banyule City Council,Malcolm Blair Reserve
-37.701774,145.125942,Tennis,Banyule City Council,Malcolm Blair Reserve
-37.715283,145.113397,Tennis,Banyule City Council,Montmorency Park North
-37.704732,145.065326,Tennis,Banyule City Council,N J Telfer Reserve
-37.740499,145.092682,Tennis,Banyule City Council,Viewbank Reserve
-37.752489,145.079546,Tennis,Banyule City Council,Warringal Parklands
-37.699948,145.104116,Tennis,Banyule City Council,Whatmough Park
-37.728769,145.106565,Tennis,Banyule City Council,Yallambie Park
-38.480834,145.470741,AFL,Bass Coast Shire Council,Bass Recreation Oval
-38.451054,145.247337,AFL,Bass Coast Shire Council,Cowes Recreation Reserve
-38.596136,145.542022,AFL,Bass Coast Shire Council,Dalyston Recreation Reserve
-38.631772,145.727419,AFL,Bass Coast Shire Council,Inverloch Recreation Reserve
-38.600924,145.597243,AFL,Bass Coast Shire Council,Wonthaggi Recreation Reserve
-38.599783,145.599475,Basketball,Bass Coast Shire Council,Bass Coast Aquatic & Leisure Centre
-38.669361,145.621415,Basketball,Bass Coast Shire Council,Cape Paterson Sports Facility
-38.413097,145.433028,Basketball,Bass Coast Shire Council,Corinella Tennis and Bowls Club
-38.434736,145.438135,Basketball,Bass Coast Shire Council,Coronet Bay Recreation reserve
-38.633258,145.727817,Basketball,Bass Coast Shire Council,Inverloch Community Hub
